exp_id,model,technique,prompt,dataset,f1_score,precision,recall,accuracy,sample_size
9c8a788c83ca41ffe58e17d957d83e3e,Meta-Llama-3-8B-Instruct-nulnk,Zero_shot_detailed,"You are an expert legal professional who can understand legal documents and answer questions related to legal context. Given a clause and a question in Arabic, classify if the clause is relevant ذات صلة to answering the question or irrelevant غير ذات صلة. Provide your Answer in Arabic with only ذات صلة or غير ذات صلة.

Clause: {clause}
Question: {question}

Answer:",privacy_policy_qa,0.23150274241863592,0.48913781398506445,0.34319162045594576,0.475,1000
5d0ed9967d3814f8827d80286753bf72,gpt4-2024-02-15-preview,Zero_shot_detailed,"You are an expert legal professional who can understand legal documents and answer questions related to legal context. Given a clause and a description, classify if the description of each clause is correct or incorrect. Use the Arabic words صحيح if the description is correct and use the word غير صحيح if the description is incorrect. The Final answer should be the answer as صحيح or غير صحيح only.



clause: {clause}
description: {question}
Answer:",privacy_policy_entailment,0.4269949066213922,0.5720486111111112,0.6571969696969697,0.46,400
fd1ea90d42bdbd56c09149b3d97b9056,gpt-35-turbo-16k-2023-03-15-preview,Zero_shot_detailed,"You are a great legal expert helping a consumer understand legal contracts and terms and conditions. The consumer gives you a text from a contract and asks you a question. Both the contract and the question are in Arabic language. You need to analyze the contract detailes and answer in Arabic language only with أجل for Yes or لا for No. Don't add any more details to the answer. The final answer for the question should be based on the information in the contract:

Contract: {clause}

Question: {question}

Answer:",consumer_contract_qa,0.7673463729560952,0.7819343316389613,0.7644315019070199,0.7752525252525253,0
1c9e3742ee80aaabe1cef5ec8c805784,Cohere-command-r-plus-uptoi,few_shot,"Classify if the description of each clause is correct or incorrect. Use the Arabic words صحيح if the description is correct and use the word غير صحيح if the description is incorrect. The Final answer should be the answer as صحيح or غير صحيح only.

clause: المعلومات التي تقدمها. من أجل التسجيل كمستخدم مع Tinder ، سيُطلب منك تسجيل الدخول باستخدام تسجيل الدخول إلى Facebook الخاص بك. إذا قمت بذلك ، فأنت تفوضنا بالوصول إلى بعض معلومات حساب Facebook ، مثل ملفك الشخصي العام على Facebook (بما يتفق مع إعدادات الخصوصية الخاصة بك في Facebook) ، وعنوان بريدك الإلكتروني ، والاهتمامات ، والإعجابات ، والجنس ، وتاريخ الميلاد ، وتاريخ التعليم ، واهتمامات العلاقة ، والمدينة الحالية ، والصور ، والوصف الشخصي ، وقائمة الأصدقاء ، ومعلومات حول وصور أصدقائك على Facebook الذين قد يكونون أصدقاء Facebook مشتركين مع مستخدمي Tinder الآخرين. سيُطلب منك أيضًا السماح لـ Tinder بجمع معلومات موقعك من جهازك عند تنزيل الخدمة أو استخدامها. بالإضافة إلى ذلك ، قد نقوم بجمع وتخزين أي معلومات شخصية تقدمها أثناء استخدام خدماتنا أو بطريقة أخرى. قد يشمل ذلك معلومات التعريف ، مثل اسمك وعنوانك وعنوان بريدك الإلكتروني ورقم هاتفك ، وإذا كنت تتعامل معنا ، المعلومات المالية. يمكنك أيضًا تزويدنا بصور ووصف شخصي ومعلومات حول جنسك وتفضيلاتك للتوصيات ، مثل مسافة البحث والفئة العمرية والجنس. إذا كنت الدردشة مع مستخدمي Tinder الآخرين، فإنك توفر لنا محتوى الدردشات الخاصة بك، وإذا كنت الاتصال بنا مع خدمة العملاء أو استفسار آخر، فإنك توفر لنا مع محتوى هذا الاتصال.

description: وتصف السياسة جمع البريد الإلكتروني للمستخدم من قبل طرف في العقد.
Answer: صحيح



clause: إذا كنت تستخدم تطبيقنا، فإننا لا نستخدم معرفات الأجهزة المحمولة (المعرف الفريد المعين لجهاز من قبل الشركة المصنعة) أو معرفات الإعلانات (لنظام التشغيل iOS 6 والإصدارات الأحدث).
description: تصف السياسة جمع معرّف إعلان المستخدم (مثل معرّف إعلان Google) من قبل طرف في العقد.
Answer: غير صحيح



clause: المعلومات التي نجمعها عنك بشكل عام. قد نقوم بجمع المعلومات الشخصية، بما في ذلك البيانات الحساسة، وغيرها من المعلومات. \المعلومات الشخصية\ تعني معلومات تعريفية فردية تسمح لنا بتحديد الهوية الفعلية والاتصال بشخص حي معين. تتضمن البيانات الحساسة معلومات أو تعليقات أو محتوى (على سبيل المثال. الصور الفوتوغرافية والفيديو والملف الشخصي ونمط الحياة) التي تقدمها اختياريًا والتي قد تكشف عن أصلك العرقي و \/ أو جنسيتك و \/ أو دينك و \/ أو توجهك الجنسي. من خلال توفير البيانات الحساسة لنا، فإنك توافق على جمع واستخدام والكشف عن البيانات الحساسة على النحو الذي تسمح به قوانين الخصوصية المعمول بها. قد نقوم أيضًا بجمع معلومات تحديد الموقع الجغرافي الخاصة بك بموافقتك. قد نجمع هذه المعلومات من خلال موقع ويب أو تطبيق جوال أو خدمات أخرى عبر الإنترنت. باستخدام الخدمة ، فإنك تأذن لنا بجمع البيانات المتعلقة بتقديم الخدمة وتحليلها والاحتفاظ بها. عندما تقدم معلومات شخصية من خلال خدمتنا ، قد يتم إرسال المعلومات إلى خوادم موجودة في الولايات المتحدة وبلدان حول العالم.
description: تصف السياسة جمع بيانات الموقع غير المحددة للمستخدم من قبل طرف في العقد.
Answer: صحيح


clause:إذا كنت تستخدم تطبيقنا، فإننا لا نستخدم معرفات الأجهزة المحمولة (المعرف الفريد المعين لجهاز من قبل الشركة المصنعة) أو معرفات الإعلانات (لنظام التشغيل iOS 6 والإصدارات الأحدث).
description:تصف السياسة جمع معرف جهاز المستخدم (مثل معرف Android) من قبل طرف في العقد.,
Answer: غير صحيح,



clause: {clause}
description: {question}
Answer:",privacy_policy_entailment,0.40777505886698373,0.41694073157730643,0.48895202020202017,0.705,400
01ab4a5846510321544efb5ddb829fd3,Meta-Llama-3-70B-Instruct-zjjnw,Zero_shot_detailed,"You are an expert legal professional who can understand legal documents and answer questions related to legal context. Given a clause and a question in Arabic, classify if the clause is relevant ذات صلة to answering the question or irrelevant غير ذات صلة. Provide your Answer in Arabic with only ذات صلة or غير ذات صلة.

Clause: {clause}
Question: {question}

Answer:",privacy_policy_qa,0.6220819178521109,0.6779842042999937,0.6496522618083996,0.632,1000
9bed55b05a35df07a848e34b1e83a21a,Cohere-command-r-plus-uptoi,few_shot,"Classify if the clause is relevant ذات صلة to answering the question or irrelevant غير ذات صلة. The final answer should be the phrase ذات الصلة or غير ذات صلة only.

Clause: لدينا هؤلاء الخبراء طرف ثالث إجراء اختبارات الاختراق العادية والتدقيق بشكل دوري الضوابط الأمنية 23andMes.
Question:هل سبق لك بيع معلوماتي الشخصية لشركات أخرى لأغراض التسويق؟
Answer: ذات الصلة

Clause: لن يتم عكس أو إلغاء أو سحب أي بحث يتضمن بياناتك التي تم إجراؤها أو نشرها بالفعل قبل انسحابك من 23andMe Research.
Question: سيتم مشاركة المعلومات مع طرف ثالث
Answer: ذات الصلة


 Clause : يمكن للشخص الذي أشرت إليه الاتصال بنا على privacy23andme.com لطلب إزالة هذه المعلومات من قاعدة البيانات الخاصة بنا.
 Question: هل تستخدم بياناتي لإجراء البحوث الطبية
 Answer : غير ذات صلة

Clause: يمكنك سحب موافقتك في أي وقت ، ومع ذلك ، فإن سحب موافقتك لن يؤثر على قانونية المعالجة بناءً على الموافقة قبل سحبها.
Question:هل يتم استخدام معلومات الحمض النووي الخاصة بي بأي طريقة أخرى إلى جانب ما هو محدد؟
Answer: ذات الصلة

Clause:بما يتفق مع المتطلبات القانونية المعمول بها ، نتخذ خطوات معقولة تجاريًا لمطالبة الأطراف الثالثة بحماية معلوماتك الشخصية بشكل كاف ومعالجتها فقط وفقًا لتعليماتنا ؛
Question:ما هي المعلومات التي تخزنها الشركة عني؟
Answer: غير ذات صلة

Clause: قد تقرر مشاركة معلوماتك الشخصية مع الأصدقاء و \/ أو أفراد الأسرة أو الأطباء أو غيرهم من المتخصصين في الرعاية الصحية و \/ أو الأفراد الآخرين خارج خدماتنا ، بما في ذلك من خلال خدمات الجهات الخارجية مثل الشبكات الاجتماعية وتطبيقات الجهات الخارجية التي تتصل بموقعنا على الويب وتطبيقات الجوال من خلال واجهة برمجة التطبيقات الخاصة بنا (\API\).
Question:إذا تبين أن بياناتي الوراثية غير متوقعة ، فهل يمكن لعائلتي رؤيتها؟
Answer: ذات الصلة

Clause: إذا لم تعد ترغب في المشاركة في خدماتنا ، أو لم تعد ترغب في معالجة معلوماتك الشخصية ، فيمكنك حذف حسابك ومعلوماتك الشخصية في إعدادات حسابك.
Question:ما مدى أمان موقع الويب الخاص بك من المتسللين؟
Answer: غير ذات صلة




Clause: {clause}
Question: {question}

Answer:",privacy_policy_qa,0.6849744950504646,0.6857398754209709,0.6845670287009854,0.688,1000
cf5f6ad731bcfeada3201293585403d6,gpt-35-turbo-16k-2023-03-15-preview,Zero_shot_basic,"Classify if the description of each clause is correct or incorrect. Use the Arabic words صحيح if the description is correct and use the word غير صحيح if the description is incorrect. The Final answer should be the answer as صحيح or غير صحيح only.


clause: {clause}
description: {question}
Answer:",privacy_policy_entailment,0.35639995880959735,0.5420106847984458,0.5819128787878788,0.375,400
7f98afcc179ba05fa3a3f4cff0235a9e,Cohere-command-r-plus-uptoi,One_shot,"Classify if the description of each clause is correct or incorrect. Use the Arabic words صحيح if the description is correct and use the word غير صحيح if the description is incorrect. The Final answer should be the answer one word as صحيح or غير صحيح only.

Clause: المعلومات التي تقدمها. من أجل التسجيل كمستخدم مع Tinder ، سيُطلب منك تسجيل الدخول باستخدام تسجيل الدخول إلى Facebook الخاص بك. إذا قمت بذلك ، فأنت تفوضنا بالوصول إلى بعض معلومات حساب Facebook ، مثل ملفك الشخصي العام على Facebook (بما يتفق مع إعدادات الخصوصية الخاصة بك في Facebook) ، وعنوان بريدك الإلكتروني ، والاهتمامات ، والإعجابات ، والجنس ، وتاريخ الميلاد ، وتاريخ التعليم ، واهتمامات العلاقة ، والمدينة الحالية ، والصور ، والوصف الشخصي ، وقائمة الأصدقاء ، ومعلومات حول وصور أصدقائك على Facebook الذين قد يكونون أصدقاء Facebook مشتركين مع مستخدمي Tinder الآخرين. سيُطلب منك أيضًا السماح لـ Tinder بجمع معلومات موقعك من جهازك عند تنزيل الخدمة أو استخدامها. بالإضافة إلى ذلك ، قد نقوم بجمع وتخزين أي معلومات شخصية تقدمها أثناء استخدام خدماتنا أو بطريقة أخرى. قد يشمل ذلك معلومات التعريف ، مثل اسمك وعنوانك وعنوان بريدك الإلكتروني ورقم هاتفك ، وإذا كنت تتعامل معنا ، المعلومات المالية. يمكنك أيضًا تزويدنا بصور ووصف شخصي ومعلومات حول جنسك وتفضيلاتك للتوصيات ، مثل مسافة البحث والفئة العمرية والجنس. إذا كنت الدردشة مع مستخدمي Tinder الآخرين، فإنك توفر لنا محتوى الدردشات الخاصة بك، وإذا كنت الاتصال بنا مع خدمة العملاء أو استفسار آخر، فإنك توفر لنا مع محتوى هذا الاتصال.

Description: وتصف السياسة جمع البريد الإلكتروني للمستخدم من قبل طرف في العقد.
Answer: صحيح



Clause: إذا كنت تستخدم تطبيقنا، فإننا لا نستخدم معرفات الأجهزة المحمولة (المعرف الفريد المعين لجهاز من قبل الشركة المصنعة) أو معرفات الإعلانات (لنظام التشغيل iOS 6 والإصدارات الأحدث).
Description: تصف السياسة جمع معرّف إعلان المستخدم (مثل معرّف إعلان Google) من قبل طرف في العقد.
Answer: غير صحيح


clause: {clause}
description: {question}
Answer:",privacy_policy_entailment,0.6630824372759857,0.6535504296698327,0.8214962121212122,0.765,400
dea4973acab1e18c586017ee06a3a302,Cohere-command-r-kscml,few_shot,"Classify if the clause is relevant ذات صلة to answering the question or irrelevant غير ذات صلة. The final answer should be the phrase ذات الصلة or غير ذات صلة only.

Clause: لدينا هؤلاء الخبراء طرف ثالث إجراء اختبارات الاختراق العادية والتدقيق بشكل دوري الضوابط الأمنية 23andMes.
Question:هل سبق لك بيع معلوماتي الشخصية لشركات أخرى لأغراض التسويق؟
Answer: ذات الصلة

Clause: لن يتم عكس أو إلغاء أو سحب أي بحث يتضمن بياناتك التي تم إجراؤها أو نشرها بالفعل قبل انسحابك من 23andMe Research.
Question: سيتم مشاركة المعلومات مع طرف ثالث
Answer: ذات الصلة


 Clause : يمكن للشخص الذي أشرت إليه الاتصال بنا على privacy23andme.com لطلب إزالة هذه المعلومات من قاعدة البيانات الخاصة بنا.
 Question: هل تستخدم بياناتي لإجراء البحوث الطبية
 Answer : غير ذات صلة

Clause: يمكنك سحب موافقتك في أي وقت ، ومع ذلك ، فإن سحب موافقتك لن يؤثر على قانونية المعالجة بناءً على الموافقة قبل سحبها.
Question:هل يتم استخدام معلومات الحمض النووي الخاصة بي بأي طريقة أخرى إلى جانب ما هو محدد؟
Answer: ذات الصلة

Clause:بما يتفق مع المتطلبات القانونية المعمول بها ، نتخذ خطوات معقولة تجاريًا لمطالبة الأطراف الثالثة بحماية معلوماتك الشخصية بشكل كاف ومعالجتها فقط وفقًا لتعليماتنا ؛
Question:ما هي المعلومات التي تخزنها الشركة عني؟
Answer: غير ذات صلة

Clause: قد تقرر مشاركة معلوماتك الشخصية مع الأصدقاء و \/ أو أفراد الأسرة أو الأطباء أو غيرهم من المتخصصين في الرعاية الصحية و \/ أو الأفراد الآخرين خارج خدماتنا ، بما في ذلك من خلال خدمات الجهات الخارجية مثل الشبكات الاجتماعية وتطبيقات الجهات الخارجية التي تتصل بموقعنا على الويب وتطبيقات الجوال من خلال واجهة برمجة التطبيقات الخاصة بنا (\API\).
Question:إذا تبين أن بياناتي الوراثية غير متوقعة ، فهل يمكن لعائلتي رؤيتها؟
Answer: ذات الصلة

Clause: إذا لم تعد ترغب في المشاركة في خدماتنا ، أو لم تعد ترغب في معالجة معلوماتك الشخصية ، فيمكنك حذف حسابك ومعلوماتك الشخصية في إعدادات حسابك.
Question:ما مدى أمان موقع الويب الخاص بك من المتسللين؟
Answer: غير ذات صلة




Clause: {clause}
Question: {question}

Answer:",privacy_policy_qa,0.6443559285866705,0.6549772977435333,0.645152002061864,0.655,1000
a8f2a08287e5bf90499d4a37e6c73692,Cohere-command-r-plus-uptoi,Zero_shot_detailed,"You are an expert legal professional who can understand legal documents and answer questions related to legal context. Given a clause and a description, classify if the description of each clause is correct or incorrect. Use the Arabic words صحيح if the description is correct and use the word غير صحيح if the description is incorrect. The Final answer should be the answer as صحيح or غير صحيح only.



clause: {clause}
description: {question}
Answer:",privacy_policy_entailment,0.5185866430501623,0.5744186046511628,0.675189393939394,0.6025,400
